date_published,title,url,post_id,topic_tags,status
2026-08-04,How to Find a Water Leak Underground,https://www.brackendownsplumber.co.za/2026/08/04/how-to-find-a-water-leak-underground/,148,leaks,published
2026-08-04,Why Do Pipes Burst in Winter in South Africa?,https://www.brackendownsplumber.co.za/2026/08/04/why-do-pipes-burst-in-winter-south-africa/,149,pipes-winter,published
2026-08-04,What to Do When a Pipe Bursts,https://www.brackendownsplumber.co.za/2026/08/04/what-to-do-when-a-pipe-bursts/,150,pipes-emergency,published
2026-08-04,How to Shut Off Your Main Water Supply,https://www.brackendownsplumber.co.za/2026/08/04/how-to-shut-off-your-main-water-supply/,151,emergency-general,published
2026-08-04,Plumbing Maintenance Checklist for Homeowners,https://www.brackendownsplumber.co.za/2026/08/04/plumbing-maintenance-checklist-for-homeowners/,152,maintenance,published
2026-08-04,How to Fix a Running Toilet,https://www.brackendownsplumber.co.za/2026/08/04/how-to-fix-a-running-toilet/,153,toilets,published
2026-08-04,Heat Pump vs Geyser: Which Is Better?,https://www.brackendownsplumber.co.za/2026/08/04/heat-pump-vs-geyser-which-is-better/,154,geyser-comparison,published
2026-08-04,How Does Water Filtration Work?,https://www.brackendownsplumber.co.za/2026/08/04/how-does-water-filtration-work/,155,water-quality,published
2026-08-04,Why Are My Gutters Overflowing?,https://www.brackendownsplumber.co.za/2026/08/04/why-are-my-gutters-overflowing/,156,gutters,published
2026-08-04,How Often Should Gutters Be Cleaned?,https://www.brackendownsplumber.co.za/2026/08/04/how-often-should-gutters-be-cleaned/,157,gutters,published
2026-08-04,How Often Should a Grease Trap Be Cleaned?,https://www.brackendownsplumber.co.za/2026/08/04/how-often-should-a-grease-trap-be-cleaned/,158,commercial-grease-trap,published
2026-08-04,Benefits of a Plumbing Maintenance Contract,https://www.brackendownsplumber.co.za/2026/08/04/benefits-of-a-plumbing-maintenance-contract/,159,maintenance,published
2026-08-04,Signs Your Geyser Needs Replacing,https://www.brackendownsplumber.co.za/2026/08/04/signs-your-geyser-needs-replacing/,160,geyser,published
2026-08-04,Is It Worth Fixing an Old Geyser?,https://www.brackendownsplumber.co.za/2026/08/04/is-it-worth-fixing-an-old-geyser/,161,geyser,published
2026-08-14,What Affects the Cost of a Geyser Installation in Alberton?,https://www.brackendownsplumber.co.za/2026/08/14/what-affects-the-cost-of-a-geyser-installation-in-alberton/,200,geyser-installation-cost,published
2026-08-20,Gas Geysers & Gas Plumbing Safety,https://www.brackendownsplumber.co.za/2026/08/20/gas-geysers-and-gas-plumbing-safety/,201,gas-geysers,published
2026-08-21,Tankless Geysers vs Traditional Geysers: Pros and Cons,https://www.brackendownsplumber.co.za/2026/08/21/tankless-geysers-vs-traditional-geysers-pros-and-cons/,218,tankless-geyser,published
2026-08-25,JoJo Tanks and Backup Water Systems: What to Plan Before You Install One,https://www.brackendownsplumber.co.za/2026/08/25/jojo-tanks-and-backup-water-systems/,219,water-tank-jojo,published
2026-08-28,Borehole Water: Pros, Cons and Plumbing Considerations,https://www.brackendownsplumber.co.za/2026/08/28/borehole-water-pros-cons-and-plumbing-considerations/,220,borehole-water,published
2026-09-01,Water Pressure Booster Pumps: When Do You Actually Need One?,https://www.brackendownsplumber.co.za/2026/09/01/water-pressure-booster-pumps-when-do-you-actually-need-one/,221,water-pressure-booster-pump,published
2026-09-04,Backflow Prevention: What It Is and Why It Matters,https://www.brackendownsplumber.co.za/2026/09/04/backflow-prevention-what-it-is-and-why-it-matters/,224,backflow-prevention,published
